Country;Job Title;New age group;Quantity;Percentage
Malta;Unemployed;36-45;3;0.03%
Malta;Unemployed;26-35;3;0.03%
Estonia;Unemployed;14-18;3;0.03%
Germany;Data Architect;46-55;3;0.03%
Lithuania;Unemployed;14-18;3;0.03%
Sweden;Data Coder Operator;46-55;2;0.02%
Slovenia;Unemployed;46-55;2;0.02%
Romania;Data Architect;26-35;2;0.02%
Germany;Data Conversion Operator;36-45;2;0.02%
Romania;Database Analyst;36-45;2;0.02%
Germany;Database Analyst;19-25;2;0.02%
Germany;Data Architect;26-35;2;0.02%
Germany;Data Architect;19-25;2;0.02%
France;Database Analyst;26-35;2;0.02%
Spain;Data Architect;46-55;2;0.02%
Portugal;Data Architect;26-35;2;0.02%
Estonia;Unemployed;36-45;2;0.02%
Estonia;Unemployed;19-25;2;0.02%
Spain;Data Architect;26-35;2;0.02%
Latvia;Unemployed;14-18;2;0.02%
Luxembourg;Unemployed;36-45;2;0.02%
Italy;Data Coder Operator;26-35;2;0.02%
Luxembourg;Unemployed;19-25;2;0.02%
Lithuania;Unemployed;56-65;2;0.02%
Italy;Data Coder Operator;36-45;2;0.02%
United Kingdom;Data Architect;36-45;2;0.02%
United Kingdom;Data Architect;26-35;2;0.02%
United Kingdom;Data Architect;19-25;2;0.02%
Italy;Data Architect;26-35;2;0.02%
Cyprus;Unemployed;14-18;2;0.02%
Poland;Data Architect;36-45;2;0.02%
Belgium;Data Architect;36-45;2;0.02%
United Kingdom;Database Analyst;36-45;2;0.02%
France;Data Architect;19-25;1;0.01%
Bulgaria;Database Analyst;26-35;1;0.01%
Bulgaria;Data Architect;36-45;1;0.01%
Bulgaria;Data Architect;26-35;1;0.01%
Belgium;Data Architect;26-35;1;0.01%
Slovenia;Unemployed;14-18;1;0.01%
Czech Republic;Data Architect;26-35;1;0.01%
Finland;Data Architect;46-55;1;0.01%
United Kingdom;Data Conversion Operator;36-45;1;0.01%
Czech Republic;Data Architect;36-45;1;0.01%
Spain;Data Architect;19-25;1;0.01%
Cyprus;Unemployed;19-25;1;0.01%
Spain;Data Conversion Operator;46-55;1;0.01%
Cyprus;Unemployed;46-55;1;0.01%
France;Data Architect;56-65;1;0.01%
Denmark;Data Architect;26-35;1;0.01%
Sweden;Data Conversion Operator;26-35;1;0.01%
Romania;Data Coder Operator;36-45;1;0.01%
France;Data Coder Operator;26-35;1;0.01%
France;Data Coder Operator;46-55;1;0.01%
Poland;Data Architect;46-55;1;0.01%
Hungary;Data Conversion Operator;19-25;1;0.01%
Poland;Data Architect;19-25;1;0.01%
Hungary;Database Analyst;36-45;1;0.01%
Ireland;Data Architect;26-35;1;0.01%
Italy;Data Coder Operator;19-25;1;0.01%
Netherlands;Database Analyst;46-55;1;0.01%
Malta;Unemployed;56-65;1;0.01%
Malta;Unemployed;19-25;1;0.01%
Luxembourg;Unemployed;46-55;1;0.01%
Luxembourg;Unemployed;14-18;1;0.01%
Luxembourg;Data Conversion Operator;36-45;1;0.01%
Italy;Data Conversion Operator;56-65;1;0.01%
Italy;Database Analyst;19-25;1;0.01%
Italy;Database Analyst;26-35;1;0.01%
Italy;Database Analyst;36-45;1;0.01%
Latvia;Data Architect;26-35;1;0.01%
Poland;Data Coder Operator;26-35;1;0.01%
Poland;Database Analyst;26-35;1;0.01%
Poland;Database Analyst;36-45;1;0.01%
Germany;Data Architect;56-65;1;0.01%
Slovakia;Data Conversion Operator;26-35;1;0.01%
France;Database Analyst;19-25;1;0.01%
Romania;Database Analyst;46-55;1;0.01%
Latvia;Data Conversion Operator;46-55;1;0.01%
Romania;Data Architect;46-55;1;0.01%
Romania;Data Architect;36-45;1;0.01%
Romania;Data Architect;19-25;1;0.01%
Germany;Data Coder Operator;46-55;1;0.01%
Hungary;Data Architect;46-55;1;0.01%
Germany;Data Conversion Operator;56-65;1;0.01%
Portugal;Data Conversion Operator;26-35;1;0.01%
Germany;Database Analyst;56-65;1;0.01%
Greece;Data Architect;26-35;1;0.01%
Greece;Data Architect;36-45;1;0.01%
Greece;Data Architect;46-55;1;0.01%
Hungary;Data Architect;26-35;1;0.01%
Austria;Data Coder Operator;46-55;1;0.01%
